total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades,asset,fast_period,slow_period,apo_combination,period_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,22,5-22,4.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,22,5-22,4.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,23,5-23,4.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,23,5-23,4.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,23,5-23,4.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,24,5-24,4.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,24,5-24,4.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,24,5-24,4.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,25,5-25,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,25,5-25,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,25,5-25,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,26,5-26,5.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,26,5-26,5.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,26,5-26,5.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,27,5-27,5.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,27,5-27,5.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,27,5-27,5.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,28,5-28,5.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,28,5-28,5.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,28,5-28,5.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,29,5-29,5.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,29,5-29,5.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,29,5-29,5.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,30,5-30,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,30,5-30,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,30,5-30,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,31,5-31,6.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,31,5-31,6.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,31,5-31,6.2
