asset,vidya_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ada,10,0.5069980860193952,0.8990830121550043,1.1892184036920659,1.3259258673647976,0.8761387549865284,0.7120287108496892,0.501195219123506,1.3259258673647976,0.6938580084426715,1255
trx,10,0.5417023589509611,0.8307930158335433,1.3323911712479963,1.398259715414297,1.0679532428321519,0.6778487570702065,0.5107772697583279,1.398259715414297,0.8713491380720906,1531
sui,10,0.8596944641434077,0.5792291170103095,0.8330295066422628,1.1616357841508673,0.5712135495842673,0.6309714749070352,0.45707070707070707,1.1616357841508673,0.6222398793216277,396
sol,10,1.0501474068315262,1.3224218096106155,1.6888498685181115,1.3958086439325477,1.359604009412457,0.7313139947587743,0.5043062200956938,1.3958086439325477,0.7518761655225871,1045
bnb,10,0.6227544710584916,1.050531383329036,1.4135993742299149,1.3597938228162068,1.0106291222678578,0.662231390383171,0.5192186515437933,1.3597938228162068,0.6370779011668476,1587
btc,10,0.4793878685472981,1.1941495738411587,1.3548812467920597,1.3524098049066373,0.8513465670058648,0.5488699312967908,0.5296198054818745,1.3524098049066373,0.3913065347745318,2262
xrp,11,0.3480589487793433,0.7331749758529028,0.9610898822818661,1.2936818523734488,0.639305998160059,0.8192485283431826,0.47671665351223363,1.2936818523734488,0.7143594849842202,1267
eth,11,0.21163058514131095,0.633187298372993,0.6952751866285025,1.1759963187212914,0.42486673456768903,0.7361786441537127,0.4930939226519337,1.1759963187212914,0.4939736116055315,1448
algo,11,-0.18155468597868807,0.28138897900364174,0.32463962117387274,1.0821627914861929,0.20499437302140558,0.9010928927844941,0.4811715481171548,1.0821627914861929,0.6564541839714745,956
vet,11,0.23977165349260265,0.646996072399643,0.7509296850555511,1.1914703163416156,0.5601622307674747,0.7208592607408512,0.5022026431718062,1.1914703163416156,0.6241121836618597,1135
atom,11,0.026726176972589943,0.31267472437907223,0.35475832243473837,1.0860582562228092,0.24149349375174803,0.8143069605875801,0.48107109879963067,1.0860582562228092,0.628927820402434,1083
pol,11,-0.1576796688314973,0.0995917485978072,0.09552682165950502,1.0280026641522297,0.08057134047634688,0.5706560760359196,0.49236641221374045,1.0280026641522297,0.46167002431965054,262
tao,11,0.7381629916988968,1.1261710452109153,1.4317221750399036,1.3263334311951458,1.3161078305594953,0.6052955212930892,0.5022727272727273,1.3263334311951458,0.707382931539701,440
ltc,11,0.25414262754362693,0.6552148003154854,0.7782635725105113,1.2207369599587277,0.5523817430215912,0.7546789569680641,0.4777956126270733,1.2207369599587277,0.636235441371307,1869
xlm,11,0.45718422458370145,0.8518935085890404,1.090788665540483,1.340299109684892,0.8425415070466955,0.7030742211995442,0.5,1.340299109684892,0.6953559428763166,1150
avax,11,0.6213814656320054,0.9910561595934286,1.232066079310304,1.3276255769145664,1.0085297532312236,0.7466622329701109,0.5158150851581509,1.3276255769145664,0.7598268476262174,822
link,11,0.5963928558352598,0.9913326554911673,1.3235883676377176,1.2891450995956795,1.0592859285187908,0.6748927887067068,0.4979702300405954,1.2891450995956795,0.7211549325807413,1478
