asset,vzo_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
pol,113,-0.1572585727712963,0.02622581071156487,0.021227200904369744,1.0094244334832827,0.021305480359588944,0.4581317440723854,0.48466257668711654,1.0094244334832827,0.37217979580452865,163
tao,113,0.5384464796612429,1.004211568980307,1.1105888494795473,1.3430796943939507,0.980786152903193,0.6217783910563793,0.4924924924924925,1.3430796943939507,0.6072740595308581,333
ltc,113,0.3924088089385269,0.8352435836536378,0.944200470690607,1.3101523376672466,0.7648626934571735,0.6505181754104611,0.4900351699882767,1.3101523376672466,0.5957029703967415,1706
xlm,113,0.4074368975833673,0.8436775042297953,1.0601437617962428,1.3536411802145385,0.7465311836176696,0.6623286378367695,0.5150048402710552,1.3536411802145385,0.586063963385573,1033
avax,113,0.3702528119327846,0.8374970077673196,0.7769166103190625,1.2891003863715,0.9617754821790345,0.49371333334239237,0.5278637770897833,1.2891003863715,0.5669768068777652,646
link,113,0.545499762157478,1.0282340821315472,1.3012261043936937,1.314924943679227,1.050586580523621,0.5712720307868618,0.5016129032258064,1.314924943679227,0.5836907566115582,1240
ada,113,0.4092612198777008,0.9038770968856179,0.9241408450793408,1.3051360760577622,0.7494715837164663,0.6438564371366566,0.5155393053016454,1.3051360760577622,0.5338691568682556,1094
trx,113,2.944881349038671,0.4613139057544687,0.5027726332338782,1.171966798899256,0.405787411330679,0.61993946635841,0.5108359133126935,1.171966798899256,0.545319852918535,1292
sui,113,1.8160433778222669,0.8160668364229832,1.0153882074665164,1.2920431487015984,0.9312826064053941,0.4330899058602584,0.49814126394052044,1.2920431487015984,0.49423537182971,269
sol,113,0.6858087903718528,1.139632028622359,1.2174875878842728,1.397083956398918,1.1115587388625872,0.642962788373047,0.5117719950433705,1.397083956398918,0.6271242718963145,807
bnb,113,0.38216101232041,0.8915483026006479,1.0169348843047075,1.320275295329823,0.7367257070008846,0.5883077497928889,0.5232558139534884,1.320275295329823,0.4861446560281417,1290
btc,113,0.47485601489612206,1.2680527981377314,1.3420585358503347,1.4146803462706732,1.005728745485906,0.4485109427063048,0.5395277207392197,1.4146803462706732,0.3557267870921241,1948
xrp,114,0.35890196454753,0.8156720602615706,0.8522076287851449,1.3244907501854166,0.7599253466673241,0.595852171908092,0.49339622641509434,1.3244907501854166,0.5551289425734767,1060
eth,114,0.31206948680250424,0.829517520048831,0.8517701009324214,1.2582536862067708,0.6898138977007637,0.5365177113580823,0.5058639562157936,1.2582536862067708,0.4461598033946597,1279
algo,114,0.1656059357068953,0.5401300988022774,0.5923412827070874,1.1827130478266095,0.3996091983961417,0.8076972450985288,0.508557457212714,1.1827130478266095,0.5975657519851478,818
vet,114,0.5727860553860604,1.0661912728895704,1.2127560712391576,1.3810114585818578,1.0442699742102712,0.5838509162701717,0.5112299465240642,1.3810114585818578,0.5718467190447959,935
atom,114,2.5135322617010383,0.5071503773952165,0.5368531048957562,1.1571403984129391,0.4356482220159044,0.6636117652423299,0.4890829694323144,1.1571403984129391,0.5700504199987284,916
pol,114,-0.1572585727712963,0.02622581071156487,0.021227200904369744,1.0094244334832827,0.021305480359588944,0.4581317440723854,0.48466257668711654,1.0094244334832827,0.37217979580452865,163
tao,114,0.5057622101569617,0.9693751093859038,1.0703829192479688,1.3306594019849838,0.9452793857911305,0.6217783910563793,0.48942598187311176,1.3306594019849838,0.6063228670770309,331
ltc,114,0.39186567541206907,0.8345876773042346,0.94345777227066,1.309908375014951,0.7616950880334722,0.6527096187066513,0.4897360703812317,1.309908375014951,0.5957021940306263,1705
xlm,114,0.4266768657559532,0.8668801406846872,1.0889611964880088,1.364645197799081,0.7670473697055784,0.6623286378367699,0.5169082125603864,1.364645197799081,0.586052691358358,1035
avax,114,0.3731208575313163,0.8396941617558187,0.7827226769840047,1.2878556091320794,0.9696887415916476,0.4937133333423926,0.5269645608628659,1.2878556091320794,0.5701459921011351,649
link,114,0.5387447805045611,1.0207598236643303,1.2897937480885968,1.312626631402332,1.0428729905650256,0.5712720307868631,0.5016155088852988,1.312626631402332,0.5836477468658329,1238
ada,114,0.4210841343446321,0.9197493455005537,0.9398705712966477,1.3114767868117516,0.762209481616158,0.6438564371366566,0.5160109789569991,1.3114767868117516,0.5335730692127598,1093
trx,114,0.13491212655199392,0.4756086636646356,0.5189356059530098,1.1781436835724817,0.4193331955192115,0.6176126576632083,0.5112490302560124,1.1781436835724817,0.5445348437000793,1289
sui,114,1.5329828161245191,0.7590403250938064,0.9404536818256002,1.2698093281551983,0.8598247591570949,0.4330899058602589,0.49812734082397003,1.2698093281551983,0.4905950470466046,267
sol,114,0.7248473841197776,1.1783218674416567,1.2700667645026604,1.4136404430246607,1.1442925842233955,0.6429627883730468,0.511166253101737,1.4136404430246607,0.6243943789860142,806
bnb,114,0.3963562265921343,0.9125125595548234,1.0407435090048114,1.3290899459021392,0.798178163107416,0.5558679138267731,0.5240683229813664,1.3290899459021392,0.48621975198353307,1288
btc,114,0.48191093630663073,1.2826416306935242,1.3591954961207275,1.4206472574493663,1.0160143980951495,0.4485109427063047,0.5400410677618069,1.4206472574493663,0.35527739361339833,1948
xrp,115,0.3577408563066531,0.814131782743823,0.850590836119675,1.3238751322923212,0.7584836302530416,0.595852171908092,0.49291784702549574,1.3238751322923212,0.555124032770035,1059
eth,115,0.2952351011268981,0.8007442004056992,0.8227959796099165,1.2485412803834068,0.6655091116882815,0.5365177113580826,0.5043069694596711,1.2485412803834068,0.4459069766725045,1277
algo,115,2.879546332317176,0.5295328121548377,0.5796085128722953,1.1790908621268112,0.3912780095633334,0.8076972450985287,0.5091799265605875,1.1790908621268112,0.5968169736373775,817
vet,115,0.5655921553069483,1.058176167946616,1.204111849238316,1.3778577968375367,1.036376000058997,0.583850916270172,0.5096359743040685,1.3778577968375367,0.5718226279930616,934
atom,115,2.9106332135943536,0.526438739485665,0.5576928582435763,1.1643088231727305,0.4441635128582235,0.6732577405931814,0.4879120879120879,1.1643088231727305,0.5680366977039326,910
pol,115,-0.1572585727712963,0.02622581071156487,0.021227200904369744,1.0094244334832827,0.021305480359588944,0.4581317440723854,0.48466257668711654,1.0094244334832827,0.37217979580452865,163
