time,total_market_cap,symbols_count,total_index
2015-12-05,8027744754.721573,2,8027744754.721573
2015-12-06,8020560781.6916485,2,8020560781.6916485
2015-12-07,8168421363.734915,2,8168421363.734915
2015-12-08,8571085804.528779,2,8571085804.528779
2015-12-09,8609610191.611872,2,8609610191.611872
2015-12-10,8567652593.826103,2,8567652593.826103
2015-12-11,9308079251.292252,2,9308079251.292252
2015-12-12,8952561274.532276,2,8952561274.532276
2015-12-13,8929349041.40448,2,8929349041.40448
2015-12-14,9136400239.423794,2,9136400239.423794
2015-12-15,9574818802.52091,2,9574818802.52091
2015-12-16,9357317681.657463,2,9357317681.657463
2015-12-17,9383279435.998545,2,9383279435.998545
2015-12-18,9534933537.96535,2,9534933537.96535
2015-12-19,9506342549.674067,2,9506342549.674067
2015-12-20,9100538552.082283,2,9100538552.082283
2015-12-21,9013911639.881155,2,9013911639.881155
2015-12-22,8969686062.57719,2,8969686062.57719
2015-12-23,9098083074.795246,2,9098083074.795246
2015-12-24,9354133359.6289,2,9354133359.6289
2015-12-25,9365985541.279541,2,9365985541.279541
2015-12-26,8585132459.883308,2,8585132459.883308
2015-12-27,8699995127.54294,2,8699995127.54294
2015-12-28,8688148042.715584,2,8688148042.715584
2015-12-29,8904274303.478224,2,8904274303.478224
2015-12-30,8774208798.344732,2,8774208798.344732
2015-12-31,8854546303.753944,2,8854546303.753944
2016-01-01,8931889385.27389,2,8931889385.27389
2016-01-02,8913495045.606667,2,8913495045.606667
2016-01-03,8843677899.771284,2,8843677899.771284
2016-01-04,8906055981.322702,2,8906055981.322702
2016-01-05,8881528622.287182,2,8881528622.287182
2016-01-06,8823349299.162426,2,8823349299.162426
2016-01-07,9412180501.798384,2,9412180501.798384
2016-01-08,9313380922.039736,2,9313380922.039736
2016-01-09,9200665408.54669,2,9200665408.54669
2016-01-10,9206420605.341476,2,9206420605.341476
2016-01-11,9216659840.95726,2,9216659840.95726
2016-01-12,8957766111.43642,2,8957766111.43642
2016-01-13,8890212640.9766,2,8890212640.9766
2016-01-14,8848255743.5665,2,8848255743.5665
2016-01-15,7496389476.480899,2,7496389476.480899
2016-01-16,7966145876.759115,2,7966145876.759115
2016-01-17,7857038543.584194,2,7857038543.584194
2016-01-18,7955899779.086987,2,7955899779.086987
2016-01-19,7813483683.049787,2,7813483683.049787
2016-01-20,8641349139.510908,2,8641349139.510908
2016-01-21,8429688804.405087,2,8429688804.405087
2016-01-22,7864742257.004327,2,7864742257.004327
2016-01-23,7966513364.647266,2,7966513364.647266
2016-01-24,8281215896.603187,2,8281215896.603187
2016-01-25,8052807866.6034355,2,8052807866.6034355
2016-01-26,8063431927.779728,2,8063431927.779728
2016-01-27,8129806998.499916,2,8129806998.499916
2016-01-28,7824134781.928309,2,7824134781.928309
2016-01-29,7807206644.089483,2,7807206644.089483
2016-01-30,7780552535.6135,2,7780552535.6135
2016-01-31,7589108953.67409,2,7589108953.67409
2016-02-01,7676578207.498995,2,7676578207.498995
2016-02-02,7704238902.449076,2,7704238902.449076
2016-02-03,7612331646.079829,2,7612331646.079829
2016-02-04,8012996602.473824,2,8012996602.473824
2016-02-05,7950319738.065006,2,7950319738.065006
2016-02-06,7747377542.336404,2,7747377542.336404
2016-02-07,7748334546.752474,2,7748334546.752474
2016-02-08,7683223465.599338,2,7683223465.599338
2016-02-09,7736208718.435049,2,7736208718.435049
2016-02-10,7849356051.7434635,2,7849356051.7434635
2016-02-11,7808061141.457627,2,7808061141.457627
2016-02-12,7902767962.305111,2,7902767962.305111
2016-02-13,8055664508.02217,2,8055664508.02217
2016-02-14,8368431798.405131,2,8368431798.405131
2016-02-15,8225760233.570868,2,8225760233.570868
2016-02-16,8373457035.441784,2,8373457035.441784
2016-02-17,8552113742.39859,2,8552113742.39859
2016-02-18,8673605560.799381,2,8673605560.799381
2016-02-19,8642034906.444756,2,8642034906.444756
2016-02-20,8984436873.77749,2,8984436873.77749
2016-02-21,9017509961.75568,2,9017509961.75568
2016-02-22,8998046834.703594,2,8998046834.703594
2016-02-23,8652084315.077837,2,8652084315.077837
2016-02-24,8734550868.070871,2,8734550868.070871
2016-02-25,8725637950.231916,2,8725637950.231916
2016-02-26,8881313248.030117,2,8881313248.030117
2016-02-27,8888334574.4741,2,8888334574.4741
2016-02-28,8910198620.333038,2,8910198620.333038
2016-02-29,8994159312.156782,2,8994159312.156782
2016-03-01,8941811674.449121,2,8941811674.449121
2016-03-02,8714529538.433865,2,8714529538.433865
2016-03-03,8664720281.691275,2,8664720281.691275
2016-03-04,8445445626.562765,2,8445445626.562765
2016-03-05,8234178076.865525,2,8234178076.865525
2016-03-06,8378792189.247219,2,8378792189.247219
2016-03-07,8514245395.136331,2,8514245395.136331
2016-03-08,8506248401.595793,2,8506248401.595793
2016-03-09,8525921655.026457,2,8525921655.026457
2016-03-10,8571809759.508629,2,8571809759.508629
2016-03-11,8670177865.009756,2,8670177865.009756
2016-03-12,8462165183.276007,2,8462165183.276007
2016-03-13,8512172156.521315,2,8512172156.521315
2016-03-14,8559208097.702889,2,8559208097.702889
2016-03-15,8567199985.51268,2,8567199985.51268
2016-03-16,8571086480.631863,2,8571086480.631863
2016-03-17,8642940664.623959,2,8642940664.623959
2016-03-18,8411547915.841507,2,8411547915.841507
2016-03-19,8430065584.3218565,2,8430065584.3218565
2016-03-20,8498197048.8814335,2,8498197048.8814335
2016-03-21,8488906094.848167,2,8488906094.848167
2016-03-22,8586876453.445262,2,8586876453.445262
2016-03-23,8586537075.777664,2,8586537075.777664
2016-03-24,8552301039.831647,2,8552301039.831647
2016-03-25,8568253255.067104,2,8568253255.067104
2016-03-26,8583687040.188055,2,8583687040.188055
2016-03-27,8765202297.045181,2,8765202297.045181
2016-03-28,8711632419.265375,2,8711632419.265375
2016-03-29,8554858793.22097,2,8554858793.22097
2016-03-30,8520420699.920246,2,8520420699.920246
2016-03-31,8561459327.674278,2,8561459327.674278
2016-04-01,8584703500.370913,2,8584703500.370913
2016-04-02,8644502844.329039,2,8644502844.329039
2016-04-03,8645164913.511559,2,8645164913.511559
2016-04-04,8655011288.241922,2,8655011288.241922
2016-04-05,8706674010.799114,2,8706674010.799114
2016-04-06,8694694347.894663,2,8694694347.894663
2016-04-07,8680558421.114986,2,8680558421.114986
2016-04-08,8630850286.092384,2,8630850286.092384
2016-04-09,8611829350.668379,2,8611829350.668379
2016-04-10,8655599314.269888,2,8655599314.269888
2016-04-11,8675060982.158886,2,8675060982.158886
2016-04-12,8730245782.277647,2,8730245782.277647
2016-04-13,8699791568.088442,2,8699791568.088442
2016-04-14,8710779716.493614,2,8710779716.493614
2016-04-15,8822109592.987968,2,8822109592.987968
2016-04-16,8838859921.106047,2,8838859921.106047
2016-04-17,8774341733.75997,2,8774341733.75997
2016-04-18,8796788691.23238,2,8796788691.23238
2016-04-19,8938204354.749746,2,8938204354.749746
2016-04-20,9054970433.092607,2,9054970433.092607
2016-04-21,9220463823.399464,2,9220463823.399464
2016-04-22,9144825839.71138,2,9144825839.71138
2016-04-23,9236645809.70063,2,9236645809.70063
2016-04-24,9424411488.101276,2,9424411488.101276
2016-04-25,9495439898.647152,2,9495439898.647152
2016-04-26,9606357966.733328,2,9606357966.733328
2016-04-27,9167522109.28976,2,9167522109.28976
2016-04-28,9246027518.300476,2,9246027518.300476
2016-04-29,9369342113.169285,2,9369342113.169285
2016-04-30,9222355077.13505,2,9222355077.13505
2016-05-01,9296781945.330317,2,9296781945.330317
2016-05-02,9151143432.596453,2,9151143432.596453
2016-05-03,9268177597.444115,2,9268177597.444115
2016-05-04,9197179029.177458,2,9197179029.177458
2016-05-05,9219672537.901283,2,9219672537.901283
